date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:40:35	29425/29425	U--MC-	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Sep%202014%2000:40:33%20GMT	http://www.fitisimo.dev/robots.txt		(from )
02:40:35	52804/52804	U--MC-	200	updated ('OK')	text/html	date:Sat,%2027%20Sep%202014%2000:40:34%20GMT	http://www.fitisimo.dev/	C:/My%20Web%20Sites/test/gymtogo/www.fitisimo.dev/index.html	(from )
02:40:35	34050/34050	U--MC-	200	updated ('OK')	text/html	date:Sat,%2027%20Sep%202014%2000:40:34%20GMT	http://www.fitisimo.dev/order-complete	C:/My%20Web%20Sites/test/gymtogo/www.fitisimo.dev/order-complete.html	(from )
02:40:35	39033/39033	U--MC-	200	updated ('OK')	text/html	date:Sat,%2027%20Sep%202014%2000:40:34%20GMT	http://www.fitisimo.dev/privacy	C:/My%20Web%20Sites/test/gymtogo/www.fitisimo.dev/privacy.html	(from )
02:40:35	15/15	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Sep%202014%2000:40:35%20GMT	http://www.fitisimo.dev/wp-content/plugins/really-static/static/home-multi-layer-parallax/feed/	C:/My%20Web%20Sites/test/gymtogo/www.fitisimo.dev/wp-content/plugins/really-static/static/home-multi-layer-parallax/feed/index.html	(from http://www.fitisimo.dev/)
02:40:35	15/15	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Sep%202014%2000:40:35%20GMT	http://www.fitisimo.dev/wp-content/plugins/really-static/static/feed/	C:/My%20Web%20Sites/test/gymtogo/www.fitisimo.dev/wp-content/plugins/really-static/static/feed/index.html	(from http://www.fitisimo.dev/)
02:40:35	15/15	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Sep%202014%2000:40:35%20GMT	http://www.fitisimo.dev/wp-content/plugins/really-static/static/comments/feed/	C:/My%20Web%20Sites/test/gymtogo/www.fitisimo.dev/wp-content/plugins/really-static/static/comments/feed/index.html	(from http://www.fitisimo.dev/)
02:40:35	45124/45124	---M--	200	added ('OK')	text/css	etag:%22b044-4f6c4b2c32900%22	http://www.fitisimo.dev/wp-content/themes/salient/wpbakery/js_composer/assets/css/js_composer_front.css?ver=3.7.3	C:/My%20Web%20Sites/test/gymtogo/www.fitisimo.dev/wp-content/themes/salient/wpbakery/js_composer/assets/css/js_composer_front1ac1.css	(from http://www.fitisimo.dev/)
02:40:36	53108/53108	---M--	200	added ('OK')	text/html	etag:%22cf74-504013d59b506%22	http://www.fitisimo.dev/wp-content/plugins/really-static/static/	C:/My%20Web%20Sites/test/gymtogo/www.fitisimo.dev/wp-content/plugins/really-static/static/index.html	(from http://www.fitisimo.dev/)
02:40:36	2278/2278	---M--	200	added ('OK')	text/css	etag:%228e6-4f6c4ac903f00%22	http://www.fitisimo.dev/wp-content/themes/salient/css/rgs.css?ver=4.5.2	C:/My%20Web%20Sites/test/gymtogo/www.fitisimo.dev/wp-content/themes/salient/css/rgs3428.css	(from http://www.fitisimo.dev/)
